,name,year,Price,kms_driven,fuel_type,company
426,Mahindra Scorpio S10,2015,900000,97200,Diesel,Mahindra
427,Ford Figo Duratorq,2012,250000,99000,Diesel,Ford
428,Maruti Suzuki Wagon,2018,395000,25500,Petrol,Maruti
429,Mahindra Logan Diesel,2009,130000,66000,Petrol,Mahindra
430,Tata Nano GenX,2010,32000,44005,Petrol,Tata
431,Mahindra TUV300 T4,2016,540000,35000,Diesel,Mahindra
432,Mahindra TUV300 T4,2016,540000,35000,Diesel,Mahindra
433,Hyundai Elite i20,2015,405000,28000,Petrol,Hyundai
434,Hyundai Elite i20,2015,400000,30000,Petrol,Hyundai
435,Honda City SV,2017,760000,4000,Petrol,Honda
436,Maruti Suzuki Baleno,2016,500000,28000,Petrol,Maruti
437,Ford Figo Petrol,2011,175000,75000,Petrol,Ford
438,Mahindra Scorpio S10,2015,900000,97200,Diesel,Mahindra
439,Honda City,2017,750000,3000,Petrol,Honda
440,Hyundai Elite i20,2015,419000,20000,Petrol,Hyundai
441,Maruti Suzuki Versa,2004,90000,50000,Petrol,Maruti
442,Hyundai Eon Era,2018,140000,2110,Petrol,Hyundai
443,Mitsubishi Pajero Sport,2015,1540000,43222,Petrol,Mitsubishi
444,Hyundai i10 Magna,2008,275000,100200,Petrol,Hyundai
445,Toyota Corolla H2,2003,150000,100000,Petrol,Toyota
446,Maruti Suzuki Swift,2011,230000,65,Petrol,Maruti
447,Tata Indigo CS,2015,123000,100000,Diesel,Tata
448,Mahindra Scorpio S10,2015,900000,97200,Diesel,Mahindra
449,Mahindra Scorpio S10,2015,900000,97200,Diesel,Mahindra
450,Hyundai Xcent Base,2016,300000,140000,Diesel,Hyundai
451,Honda City,2015,499999,55000,Petrol,Honda
452,Hyundai Accent Executive,2009,165000,48000,Petrol,Hyundai
453,Maruti Suzuki Baleno,2016,498000,22000,Petrol,Maruti
454,Tata Zest XE,2018,480000,103553,Diesel,Tata
455,Maruti Suzuki Dzire,2017,488000,80000,Diesel,Maruti
456,Tata Sumo Gold,2014,250000,99000,Diesel,Tata
457,Toyota Corolla Altis,2010,220000,58000,Petrol,Toyota
458,Maruti Suzuki Eeco,2013,290000,70000,LPG,Maruti
459,Toyota Fortuner 3.0,2015,1525000,120000,Diesel,Toyota
460,Mahindra XUV500 W6,2013,548900,49800,Diesel,Mahindra
461,Tata Tigor Revotron,2019,650000,100,Diesel,Tata
462,Maruti Suzuki 800,2001,55000,81876,Petrol,Maruti
463,Maruti Suzuki Ertiga,2015,550000,75000,Petrol,Maruti
464,Maruti Suzuki Versa,2004,90000,50000,Petrol,Maruti
465,Honda Mobilio S,2014,399000,44000,Diesel,Honda
466,Maruti Suzuki Ertiga,2016,730000,55000,Diesel,Maruti
467,Maruti Suzuki Vitara,2017,725000,36000,Diesel,Maruti
468,Hyundai Verna 1.6,2016,195000,56000,Diesel,Hyundai
469,Maruti Suzuki Swift,2007,130000,62000,Petrol,Maruti
470,Toyota Fortuner 3.0,2015,1525000,120000,Diesel,Toyota
471,Maruti Suzuki Omni,2014,190000,6020,Petrol,Maruti
472,Honda Amaze,2013,250000,55700,Diesel,Honda
473,Tata Indica,2005,80000,42000,Petrol,Tata
474,Hyundai Santro Xing,2003,120000,50000,Petrol,Hyundai
475,Maruti Suzuki Zen,2010,149000,35000,Petrol,Maruti
476,Maruti Suzuki Wagon,2014,250000,18500,Petrol,Maruti
477,Maruti Suzuki Wagon,2007,120000,7000,Petrol,Maruti
478,Honda Brio VX,2017,450000,11000,Petrol,Honda
479,Maruti Suzuki Zen,2003,99999,53000,Petrol,Maruti
480,Maruti Suzuki Zen,2008,135000,23000,Petrol,Maruti
481,Maruti Suzuki Wagon,2016,225000,35500,Diesel,Maruti
482,Maruti Suzuki Alto,2010,99000,22134,Petrol,Maruti
483,Renault Kwid RXT,2019,370000,1000,Petrol,Renault
484,Tata Nano Lx,2010,52000,9000,Petrol,Tata
485,Jaguar XE XE,2016,2800000,8500,Petrol,Jaguar
486,Hyundai Eon Magna,2014,190000,35000,Petrol,Hyundai
487,Honda City 1.5,2014,499000,22000,Petrol,Honda
488,Hindustan Motors Ambassador,2002,90000,25000,Diesel,Hindustan
489,Maruti Suzuki Ritz,2010,149000,40000,Petrol,Maruti
490,Hyundai Grand i10,2017,400000,20000,Petrol,Hyundai
491,Hyundai Eon D,2016,120000,87000,Petrol,Hyundai
492,Maruti Suzuki Swift,2015,250000,55000,Petrol,Maruti
493,Maruti Suzuki Wagon,2017,375000,23000,Petrol,Maruti
494,Honda Amaze 1.2,2014,381000,6000,Petrol,Honda
495,Maruti Suzuki Estilo,2013,180000,65000,Petrol,Maruti
496,Maruti Suzuki Vitara,2016,580000,25000,Diesel,Maruti
497,Maruti Suzuki Eeco,2015,278000,39000,Petrol,Maruti
498,Hyundai Creta 1.6,2016,1000000,8000,Petrol,Hyundai
499,Mahindra Scorpio Vlx,2013,690000,75000,Diesel,Mahindra
500,Maruti Suzuki Ertiga,2012,480000,51000,Diesel,Maruti
501,Mitsubishi Lancer 1.8,2006,85000,50000,Petrol,Mitsubishi
502,Maruti Suzuki Maruti,2001,40000,75000,Petrol,Maruti
503,Maruti Suzuki Alto,2015,90000,55800,Petrol,Maruti
504,Hyundai Grand i10,2015,340000,53000,Petrol,Hyundai
505,Hyundai Eon D,2018,260000,25000,Petrol,Hyundai
506,Ford Fiesta SXi,2009,250000,56400,Petrol,Ford
507,Maruti Suzuki Ritz,2010,180000,72160,Diesel,Maruti
508,Hyundai Verna Fluidic,2012,350000,10000,Diesel,Hyundai
509,Maruti Suzuki Wagon,2006,90001,48000,Petrol,Maruti
510,Maruti Suzuki Estilo,2007,115000,36000,Petrol,Maruti
511,Audi A6 2.0,2012,1599000,11500,Diesel,Audi
512,Maruti Suzuki Wagon,2003,130000,133000,Petrol,Maruti
513,Maruti Suzuki Wagon,2009,159000,27000,Petrol,Maruti
514,Maruti Suzuki Wagon,2009,160000,35000,Petrol,Maruti
515,Maruti Suzuki Alto,2010,110000,55000,Petrol,Maruti
516,Maruti Suzuki Baleno,2016,425000,40000,Petrol,Maruti
517,Hyundai Verna 1.6,2019,900000,2000,Petrol,Hyundai
518,Maruti Suzuki Swift,2009,150000,45000,Petrol,Maruti
519,Hyundai Getz Prime,2009,110000,20000,Petrol,Hyundai
520,Hyundai Santro,2000,51999,88000,Petrol,Hyundai
521,Hyundai Getz Prime,2009,115000,20000,Petrol,Hyundai
522,Chevrolet Beat PS,2012,215000,65422,Diesel,Chevrolet
523,Ford EcoSport Trend,2017,580000,10000,Petrol,Ford
524,Maruti Suzuki Dzire,2013,380000,35000,Petrol,Maruti
525,Hyundai Fluidic Verna,2013,350000,117000,Diesel,Hyundai
526,Tata Indica V2,2005,35000,150000,Diesel,Tata
527,BMW X1 xDrive20d,2011,1150000,72000,Diesel,BMW
528,Hyundai i20 Asta,2010,300000,10750,Petrol,Hyundai
529,Honda City 1.5,2009,269000,55000,Petrol,Honda
530,Tata Nano,2013,60000,6800,Petrol,Tata
531,Chevrolet Cruze LTZ,2014,400000,41000,Diesel,Chevrolet
532,Hyundai Verna Fluidic,2015,430000,73000,Diesel,Hyundai
533,Maruti Suzuki Swift,2011,140000,65000,Diesel,Maruti
534,Mahindra XUV500 W6,2014,8500003,45000,Diesel,Mahindra
535,Mahindra XUV500 W10,2018,1299000,40000,Diesel,Mahindra
536,Maruti Suzuki Alto,2014,199000,37000,Petrol,Maruti
537,Hyundai Accent GLE,2006,90000,55000,Petrol,Hyundai
538,Force Motors One,2013,550000,140000,Diesel,Force
539,Maruti Suzuki Alto,2019,265000,9800,Petrol,Maruti
540,Chevrolet Spark 1.0,2011,100000,27000,Petrol,Chevrolet
541,Hyundai i10,2009,215000,27000,Petrol,Hyundai
542,Toyota Etios Liva,2012,380000,20000,Diesel,Toyota
543,Renault Duster 85PS,2013,401919,57923,Diesel,Renault
544,Chevrolet Enjoy,2014,490000,30201,Diesel,Chevrolet
545,Maruti Suzuki Alto,2017,280000,6200,Petrol,Maruti
546,BMW 5 Series,2009,650000,37518,Petrol,BMW
547,Toyota Etios Liva,2014,160000,24652,Petrol,Toyota
548,Mahindra Jeep MM,2004,424000,383,Diesel,Mahindra
549,Chevrolet Beat LS,2016,225000,95000,Diesel,Chevrolet
550,Chevrolet Cruze LTZ,2011,350000,35000,Diesel,Chevrolet
551,Jeep Wrangler Unlimited,2015,950000,3528,Diesel,Jeep
552,Maruti Suzuki Ertiga,2013,485000,52500,Diesel,Maruti
553,Hyundai Verna VGT,2010,205000,47900,Diesel,Hyundai
554,Maruti Suzuki Omni,2012,160000,14000,Petrol,Maruti
555,Maruti Suzuki Celerio,2018,310000,37000,Petrol,Maruti
556,Tata Zest Quadrajet,2017,180000,90000,Diesel,Tata
557,Mahindra XUV500 W6,2013,549900,52800,Diesel,Mahindra
558,Tata Indigo CS,2016,150000,104000,Diesel,Tata
559,Hyundai i10 Era,2011,175000,30000,Petrol,Hyundai
560,Tata Indigo eCS,2014,95000,195000,Diesel,Tata
561,Tata Indigo LX,2016,230000,104000,Diesel,Tata
562,Tata Indigo eCS,2016,230000,104000,Diesel,Tata
563,Tata Indigo Marina,2004,180000,70000,Diesel,Tata
564,Hyundai Xcent SX,2015,400000,43000,Diesel,Hyundai
565,Hyundai Eon Magna,2013,185000,23000,Petrol,Hyundai
566,Renault Duster 85,2015,385000,51000,Diesel,Renault
567,Maruti Suzuki Alto,2009,90000,62000,Petrol,Maruti
568,Tata Nano LX,2010,32000,48008,Petrol,Tata
569,Renault Duster 110,2013,435000,39000,Diesel,Renault
570,Maruti Suzuki Wagon,2010,225000,40000,Petrol,Maruti
571,Maruti Suzuki Swift,2006,189700,48247,Petrol,Maruti
572,Maruti Suzuki Ertiga,2012,389700,39000,Diesel,Maruti
573,Maruti Suzuki Swift,2014,365000,23000,Petrol,Maruti
574,Maruti Suzuki Alto,2017,360000,9400,Petrol,Maruti
575,Hyundai i20 Magna,2010,210000,50000,Petrol,Hyundai
576,Hyundai i10 Magna,2009,170000,75000,Petrol,Hyundai
577,Tata Zest XE,2017,380000,70000,Diesel,Tata
578,Mahindra Xylo E8,2009,295000,64000,Diesel,Mahindra
579,Toyota Corolla Altis,2010,185000,55000,Petrol,Toyota
580,Tata Manza Aqua,2014,160000,200000,Diesel,Tata
581,Renault Kwid 1.0,2018,290000,2137,Petrol,Renault
582,Tata Venture EX,2013,100000,30000,Diesel,Tata
583,Maruti Suzuki Swift,2014,315000,44000,Petrol,Maruti
584,Skoda Octavia Classic,2006,114990,65000,Diesel,Skoda
585,Maruti Suzuki Omni,2012,120000,160000,LPG,Maruti
586,Chevrolet Beat Diesel,2011,125000,56000,Diesel,Chevrolet
587,Tata Sumo Gold,2012,210000,75000,Diesel,Tata
588,Hyundai Verna 1.6,2018,855000,42000,Diesel,Hyundai
589,Tata Sumo Gold,2012,210000,75000,Diesel,Tata
590,Mahindra Scorpio 2.6,2007,260000,56000,Diesel,Mahindra
591,Maruti Suzuki Zen,2002,95000,10544,Petrol,Maruti
592,Maruti Suzuki Swift,2011,255000,64000,Petrol,Maruti
593,Mahindra Scorpio SLX,2008,300000,70000,Diesel,Mahindra
594,Hyundai Grand i10,2014,340000,25000,Petrol,Hyundai
595,Hyundai Elite i20,2017,550000,15000,Petrol,Hyundai
596,Ford Ikon 1.6,2003,60000,50000,Petrol,Ford
597,Toyota Innova 2.5,2011,750000,147000,Diesel,Toyota
598,Nissan Sunny XL,2011,230000,52000,Petrol,Nissan
599,Chevrolet Beat LT,2012,130000,90001,Diesel,Chevrolet
600,Maruti Suzuki Alto,2017,270000,21000,Petrol,Maruti
601,Maruti Suzuki Swift,2012,280000,48006,Diesel,Maruti
602,Maruti Suzuki Swift,2012,280000,48006,Diesel,Maruti
603,Maruti Suzuki Swift,2012,280000,48006,Diesel,Maruti
604,Toyota Innova 2.0,2012,600000,80000,Diesel,Toyota
605,Maruti Suzuki Swift,2010,190000,74000,Diesel,Maruti
606,Hyundai Elite i20,2015,500000,22000,Petrol,Hyundai
607,Mahindra XUV500 W10,2016,1065000,41000,Diesel,Mahindra
608,Volkswagen Polo Trendline,2015,350000,25000,Diesel,Volkswagen
609,Toyota Etios Liva,2012,350000,85000,Diesel,Toyota
610,Mahindra TUV300 T4,2016,540000,29500,Diesel,Mahindra
611,Hyundai Elite i20,2015,470000,30000,Petrol,Hyundai
612,Hyundai Santro Xing,2014,179000,57000,Petrol,Hyundai
613,Maruti Suzuki Zen,2003,48000,60000,Petrol,Maruti
614,Maruti Suzuki Ciaz,2016,650000,50000,Petrol,Maruti
615,Hyundai Eon Era,2013,190000,39700,Petrol,Hyundai
616,Hyundai Elantra 1.8,2012,500000,65000,Petrol,Hyundai
617,Maruti Suzuki Swift,2010,270000,67000,Diesel,Maruti
618,Maruti Suzuki Zen,2008,125000,46000,Petrol,Maruti
619,Hyundai Eon Era,2012,188000,38000,Petrol,Hyundai
620,Hyundai Grand i10,2016,380000,27000,Petrol,Hyundai
621,Hyundai Verna Fluidic,2011,365000,43000,Diesel,Hyundai
622,Ford EcoSport Trend,2014,465000,47000,Petrol,Ford
623,Hyundai i20 Magna,2011,240000,42000,Petrol,Hyundai
624,Chevrolet Beat Diesel,2016,179999,19336,Diesel,Chevrolet
625,Tata Indica eV2,2015,140000,60105,Diesel,Tata
626,Jaguar XF 2.2,2013,2190000,29000,Diesel,Jaguar
627,Audi Q5 2.0,2014,2390000,34000,Diesel,Audi
628,BMW 3 Series,2011,1075000,35000,Diesel,BMW
629,Maruti Suzuki Swift,2015,475000,22000,Petrol,Maruti
630,BMW X1 sDrive20d,2012,1025000,41000,Diesel,BMW
631,Maruti Suzuki S,2016,615000,21000,Diesel,Maruti
632,Maruti Suzuki Ertiga,2013,475000,48000,Diesel,Maruti
633,Maruti Suzuki Alto,2016,270000,38000,Petrol,Maruti
634,Honda City SV,2014,475000,34000,Diesel,Honda
635,Volkswagen Vento Comfortline,2011,240000,45933,Petrol,Volkswagen
636,Honda City 1.5,2005,120000,68000,Petrol,Honda
637,Audi A4 2.0,2016,1900000,44000,Diesel,Audi
638,Mahindra KUV100,2017,360000,35000,Diesel,Mahindra
639,Tata Zest XE,2018,450000,102563,Diesel,Tata
640,Mahindra XUV500 W8,2015,900000,28600,Diesel,Mahindra
641,Maruti Suzuki Swift,2017,650000,41800,Diesel,Maruti
642,Tata Sumo Gold,2014,275000,116000,Diesel,Tata
643,Maruti Suzuki Swift,2009,210000,59000,Petrol,Maruti
644,Mahindra Scorpio 2.6,2004,175000,58000,Diesel,Mahindra
645,Maruti Suzuki Omni,2009,85000,45000,Petrol,Maruti
646,Mitsubishi Pajero Sport,2015,1490000,42590,Diesel,Mitsubishi
647,Renault Duster,2014,800000,7400,Diesel,Renault
648,Volkswagen Jetta Comfortline,2009,450000,54500,Diesel,Volkswagen
649,Maruti Suzuki Ertiga,2012,1000000,200000,Diesel,Maruti
650,Audi A4 2.0,2013,1510000,27000,Diesel,Audi
651,Volvo S80 Summum,2015,1850000,42000,Diesel,Volvo
652,Toyota Corolla Altis,2014,790000,29000,Petrol,Toyota
653,Mitsubishi Pajero Sport,2015,1725000,37000,Diesel,Mitsubishi
654,Chevrolet Beat LT,2012,135000,36000,Petrol,Chevrolet
655,BMW X1,2011,1000000,34000,Diesel,BMW
656,Datsun Redi GO,2018,299999,7000,Petrol,Datsun
657,Mercedes Benz C,2009,1225000,76000,Diesel,Mercedes
658,Mahindra Scorpio SLX,2004,175000,60000,Diesel,Mahindra
659,Volkswagen Vento Comfortline,2011,200000,95000,Diesel,Volkswagen
660,Tata Indigo CS,2017,270000,50000,Diesel,Tata
661,Ford Figo Petrol,2019,525000,0,Petrol,Ford
662,Honda City ZX,2006,180000,50000,Petrol,Honda
663,Maruti Suzuki Wagon,2008,140000,68000,Petrol,Maruti
664,Ford EcoSport Trend,2014,400000,16000,Petrol,Ford
665,Maruti Suzuki Swift,2016,499000,51000,Diesel,Maruti
666,Maruti Suzuki Omni,2009,85000,56000,Petrol,Maruti
667,Maruti Suzuki Zen,2004,70000,100000,Petrol,Maruti
668,Renault Duster RxL,2015,550000,36000,Petrol,Renault
669,Maruti Suzuki Swift,2014,370000,11523,Petrol,Maruti
670,Maruti Suzuki Baleno,2018,690000,1000,Petrol,Maruti
671,Honda WR V,2009,250000,60000,Petrol,Honda
672,Tata Indigo CS,2016,110000,85000,Diesel,Tata
673,Renault Duster 110,2013,490000,38600,Diesel,Renault
674,Mahindra Scorpio LX,2009,320000,95500,Diesel,Mahindra
675,Maruti Suzuki Zen,2004,68000,56000,Petrol,Maruti
676,Maruti Suzuki Wagon,2014,130000,37458,Petrol,Maruti
677,Maruti Suzuki SX4,2016,970000,85960,Diesel,Maruti
678,Audi A3 Cabriolet,2015,3100000,12516,Petrol,Audi
679,Hyundai Eon D,2018,280000,35000,Petrol,Hyundai
680,Maruti Suzuki Zen,2009,125000,0,Petrol,Maruti
681,Mahindra Scorpio SLX,2008,285000,80000,Diesel,Mahindra
682,Hyundai Santro AE,2011,165000,45000,Petrol,Hyundai
683,Maruti Suzuki Swift,2009,250000,51000,Diesel,Maruti
684,Mahindra Scorpio S4,2015,865000,30000,Diesel,Mahindra
685,Mahindra Xylo D2,2011,390000,48000,Diesel,Mahindra
686,Hyundai Santro,2003,60000,51000,Petrol,Hyundai
687,Chevrolet Beat LT,2015,215000,90000,Diesel,Chevrolet
688,Maruti Suzuki Swift,2015,475000,43000,Diesel,Maruti
689,Mahindra XUV500 W8,2015,899000,53000,Diesel,Mahindra
690,Toyota Fortuner 3.0,2013,1499000,97000,Diesel,Toyota
691,Maruti Suzuki Alto,2013,240000,20000,Petrol,Maruti
692,Hyundai Getz GLE,2007,99000,55000,Petrol,Hyundai
693,Maruti Suzuki Swift,2014,260000,120000,Diesel,Maruti
694,Hyundai Creta 1.6,2019,1200000,0,Petrol,Hyundai
695,Hyundai Santro Xing,2007,115000,46000,Petrol,Hyundai
696,Hyundai Santro Xing,2009,88000,43200,Petrol,Hyundai
697,Mahindra Xylo D2,2011,390000,56000,Diesel,Mahindra
698,Hyundai Santro Xing,2007,135000,42000,Petrol,Hyundai
699,Tata Indica V2,2009,90000,30600,Diesel,Tata
700,Hyundai i10 Sportz,2011,220000,38000,Petrol,Hyundai
701,Hyundai Grand i10,2017,424999,2550,Petrol,Hyundai
702,Hyundai Santro Xing,2007,135000,47000,Petrol,Hyundai
703,Honda City 1.5,2005,95000,41000,Petrol,Honda
704,Nissan Micra XL,2017,430000,62500,Diesel,Nissan
705,Honda City 1.5,2005,115000,68000,Petrol,Honda
706,Maruti Suzuki Alto,2015,215000,50000,Petrol,Maruti
707,Maruti Suzuki Wagon,2004,53000,69000,Petrol,Maruti
708,Maruti Suzuki Ertiga,2012,500000,48000,Diesel,Maruti
709,Tata Indica eV2,2012,85000,55000,Diesel,Tata
710,Maruti Suzuki Omni,2013,165000,25000,Petrol,Maruti
711,Hyundai Eon Era,2014,200000,28400,Petrol,Hyundai
712,Hyundai Eon,2014,200000,28000,Petrol,Hyundai
713,Maruti Suzuki Swift,2015,425000,42000,Diesel,Maruti
714,Hyundai Verna 1.6,2012,600000,29000,Diesel,Hyundai
715,Chevrolet Tavera LS,2005,130000,68485,Diesel,Chevrolet
716,Tata Tiago Revotron,2018,430000,3500,Petrol,Tata
717,Tata Tiago Revotorq,2019,568500,0,Petrol,Tata
718,Maruti Suzuki Zen,2006,71000,32000,Petrol,Maruti
719,Mahindra KUV100 K8,2018,560000,8000,Diesel,Mahindra
720,Ford EcoSport Titanium,2014,590000,34000,Diesel,Ford
721,Hindustan Motors Ambassador,1995,750000,37000,Petrol,Hindustan
722,Ford Fusion 1.4,2007,125000,85455,Diesel,Ford
723,Hyundai Santro Xing,2007,135000,46000,Petrol,Hyundai
724,Hyundai Santro,2002,60000,47000,Petrol,Hyundai
725,Fiat Linea Emotion,2009,120000,64000,Petrol,Fiat
726,Ford Ikon 1.3,2008,95000,46000,Petrol,Ford
727,Maruti Suzuki Omni,2017,240000,8000,Petrol,Maruti
728,Tata Indica V2,2012,115000,64000,Diesel,Tata
729,Mahindra Scorpio S4,2015,795000,63000,Diesel,Mahindra
730,Hyundai Santro Xing,2007,55000,65000,Petrol,Hyundai
731,Mahindra Xylo D2,2009,300000,62000,Diesel,Mahindra
732,Hyundai Grand i10,2014,320000,41000,Petrol,Hyundai
733,Maruti Suzuki Alto,2015,265000,14000,Petrol,Maruti
734,Toyota Corolla,2006,160000,40000,Petrol,Toyota
735,Hyundai Eon Magna,2017,300000,1600,Petrol,Hyundai
736,Tata Sumo Grande,2010,130000,90000,Diesel,Tata
737,Maruti Suzuki Swift,2011,250000,58000,Diesel,Maruti
738,Volkswagen Polo Highline1.2L,2013,380000,27000,Petrol,Volkswagen
739,Maruti Suzuki Alto,2003,42000,60000,Petrol,Maruti
740,Tata Tiago Revotron,2017,400000,31000,Petrol,Tata
741,Maruti Suzuki Swift,2009,120000,90000,Diesel,Maruti
742,Maruti Suzuki Swift,2009,120000,90000,Diesel,Maruti
743,Tata Indigo eCS,2016,130000,150000,Diesel,Tata
744,Chevrolet Beat LS,2014,189000,31000,Diesel,Chevrolet
745,Mahindra Xylo E8,2011,365000,43000,Diesel,Mahindra
746,Hyundai Eon D,2013,170000,20000,Petrol,Hyundai
747,Tata Sumo Gold,2013,215000,100000,Petrol,Tata
748,Tata Nano,2013,60000,7000,Petrol,Tata
749,Hyundai Elite i20,2017,599999,31000,Petrol,Hyundai
750,Hyundai i10 Magna,2009,400000,33000,Petrol,Hyundai
751,Hyundai Creta,2016,900000,60000,Diesel,Hyundai
752,Volkswagen Polo,2013,299999,48000,Diesel,Volkswagen
753,Maruti Suzuki Dzire,2014,374999,33000,Petrol,Maruti
754,Tata Bolt XM,2015,600000,15000,Petrol,Tata
755,Maruti Suzuki Alto,2005,70000,47000,Petrol,Maruti
756,Maruti Suzuki Alto,2005,100000,40000,Petrol,Maruti
757,Maruti Suzuki Ritz,2010,150000,38000,Diesel,Maruti
758,Maruti Suzuki Alto,2017,225000,12500,Petrol,Maruti
759,Maruti Suzuki Dzire,2009,210000,42000,Petrol,Maruti
760,Hyundai i20 Asta,2014,425000,31000,Petrol,Hyundai
761,Maruti Suzuki Swift,2008,162000,60000,Diesel,Maruti
762,Tata Indica V2,2005,60000,80000,Diesel,Tata
763,Mahindra Scorpio VLX,2014,650000,77000,Diesel,Mahindra
764,Toyota Innova 2.5,2012,750000,75000,Diesel,Toyota
765,Mahindra Xylo E8,2010,375000,40000,Diesel,Mahindra
766,Hyundai i20 Magna,2011,230000,47000,Petrol,Hyundai
767,Maruti Suzuki Omni,2000,35999,60000,Petrol,Maruti
768,Mahindra KUV100,2016,380000,26500,Petrol,Mahindra
769,Mahindra KUV100 K8,2019,560000,2875,Petrol,Mahindra
770,Datsun Go Plus,2016,285000,13900,Petrol,Datsun
771,Ford Endeavor 4x4,2019,2900000,9000,Diesel,Ford
772,Tata Indica V2,2005,39999,80000,Diesel,Tata
773,Hyundai Santro Xing,2006,85000,60000,Petrol,Hyundai
774,Maruti Suzuki Wagon,2016,395000,20000,Petrol,Maruti
775,Maruti Suzuki Swift,2008,175000,58000,Diesel,Maruti
776,Maruti Suzuki Alto,2019,400000,1500,Petrol,Maruti
777,Toyota Innova 2.5,2011,750000,75000,Diesel,Toyota
778,Maruti Suzuki Alto,2016,250000,2450,Petrol,Maruti
779,Maruti Suzuki Alto,2019,425000,1625,Petrol,Maruti
780,Volkswagen Polo Highline1.2L,2017,525000,45000,Petrol,Volkswagen
781,Mahindra Logan,2009,130000,65000,Diesel,Mahindra
782,Maruti Suzuki 800,2000,30000,33400,Petrol,Maruti
783,Mahindra Scorpio,2011,475000,60123,Diesel,Mahindra
784,Chevrolet Sail 1.2,2013,300000,28000,Petrol,Chevrolet
785,Hyundai Santro AE,2003,60000,70000,Petrol,Hyundai
786,Maruti Suzuki Wagon,2006,100000,7000,Petrol,Maruti
787,Hyundai Eon,2018,260000,25000,Petrol,Hyundai
788,Tata Manza,2015,100000,100000,Diesel,Tata
789,Toyota Etios G,2013,265000,42000,Petrol,Toyota
790,Hyundai Getz Prime,2009,115000,20000,Petrol,Hyundai
791,Toyota Qualis,2003,180000,100000,Diesel,Toyota
792,Hyundai Santro Xing,2004,45000,137495,Petrol,Hyundai
793,Tata Indica eV2,2016,50500,91200,Diesel,Tata
794,Honda City 1.5,2009,270000,55000,Petrol,Honda
795,Tata Zest XE,2017,290000,120000,Diesel,Tata
796,Mahindra Quanto C4,2013,325000,63000,Diesel,Mahindra
797,Tata Indigo eCS,2016,160000,104000,Diesel,Tata
798,Maruti Suzuki Swift,2016,350000,146000,Diesel,Maruti
799,Hyundai Elite i20,2011,290000,40000,Petrol,Hyundai
800,Hyundai i20 Select,2011,290000,40000,Petrol,Hyundai
801,Chevrolet Tavera Neo,2007,465000,100800,Diesel,Chevrolet
802,Maruti Suzuki Dzire,2016,325000,150000,Diesel,Maruti
803,Hyundai Elite i20,2018,510000,2100,Petrol,Hyundai
804,Honda City VX,2016,860000,95000,Petrol,Honda
805,Maruti Suzuki Dzire,2016,450000,2500,Diesel,Maruti
806,Hyundai Getz,2006,125000,80000,Petrol,Hyundai
807,Mercedes Benz C,2006,500001,15000,Petrol,Mercedes
808,Maruti Suzuki Alto,2005,95000,65000,Petrol,Maruti
809,Maruti Suzuki Swift,2009,250000,51000,Diesel,Maruti
810,Skoda Fabia,2009,110000,45000,Petrol,Skoda
811,Maruti Suzuki Ritz,2011,270000,50000,Petrol,Maruti
812,Tata Indica V2,2009,110000,30000,Diesel,Tata
813,Toyota Corolla Altis,2009,300000,132000,Petrol,Toyota
814,Tata Zest XM,2018,260000,27000,Diesel,Tata
815,Mahindra Quanto C8,2013,390000,40000,Diesel,Mahindra
